,source,values,pvalues,target,source cell type,target cell type,CT
581,SPP1,0.5270570637627774,0.0,ITGB1,Endothelial,Ependymal,10
572,VEGFC,0.5060962116055395,0.0,ITGB1,Endothelial,Ependymal,10
2482,COL27A1,0.4908355124220976,0.0,ITGB1,Endothelial,Ependymal,10
589,LAMB1,0.4740469225601317,0.0,ITGB1,Endothelial,Ependymal,10
2697,WNT5A,0.4388960207155509,0.999,RORA,Endothelial,Ependymal,10
524,AGT,0.3392313057608078,0.0,PIK3CA,Endothelial,Ependymal,10
314,AGT,0.3122413282770033,0.0,STAT3,Endothelial,Ependymal,10
518,FGFR3,0.3091395455283408,0.0,PIK3CA,Endothelial,Ependymal,10
526,VEGFC,0.2881541958621001,0.0,PIK3CA,Endothelial,Ependymal,10
533,NTN1,0.2855441611412579,0.0,PIK3CA,Endothelial,Ependymal,10
511,EFNB2,0.28302262222200125,0.0,PIK3CA,Endothelial,Ependymal,10
311,FGFR3,0.2821495680445363,0.0,STAT3,Endothelial,Ependymal,10
537,LAMB1,0.25610490681669235,0.0,PIK3CA,Endothelial,Ependymal,10
4235,NTS,0.22563137097956326,0.0,NTSR2,Endothelial,Ependymal,10
1234,EFNB2,0.11509005522735444,0.0,PAK1,Endothelial,Ependymal,10
4372,SEMA3G,0.5889415282543666,0.0,PLXNA3,Endothelial,NG2,10
3896,SEMA3G,0.5358874847682923,0.0,NRP2,Endothelial,NG2,10
4374,SEMA3G,0.5144921792195833,0.0,PLXNA4,Endothelial,NG2,10
4059,AVP,0.429890666866561,1.0,PTH1R,Endothelial,NG2,10
2099,WNT5A,0.2882990749080607,0.0,LRP6,Endothelial,NG2,10
975,VEGFC,0.22906522377074662,0.0,PRKCE,Endothelial,NG2,10
3945,FGFR3,0.1368987386506833,0.0,DYRK1A,Endothelial,NG2,10
1880,VEGFC,0.10278886709414178,0.0,FLT1,Endothelial,NG2,10
2270,WNT5A,0.7917869078023952,0.0,FZD2,Endothelial,Astrocytes,10
3881,EDN3,0.802295545327703,0.0,EDNRB,Endothelial,Microglia,10
427,ICAM1,0.6551783695569466,0.0,PLCG2,Endothelial,Microglia,10
2356,EFNB2,0.6152490293200759,0.0,KRAS,Endothelial,Microglia,10
3261,AVP,0.6107126461179022,0.988,PLAU,Endothelial,Microglia,10
4034,AVP,0.37576884523710674,1.0,ADCYAP1R1,Endothelial,Microglia,10
3085,AGT,1.9258268924051274,0.0,SGK1,Endothelial,Oligodendrocytes,10
1247,EFNB2,0.47130373891205934,0.0,EPHB1,Endothelial,Oligodendrocytes,10
4418,NTN1,0.21137070659815066,0.0,TRIO,Endothelial,Oligodendrocytes,10
3067,AGT,0.2093152413078383,0.022,PLCB1,Endothelial,Oligodendrocytes,10
3881,EDN3,0.8098870972810517,0.0,EDNRB,Endothelial,Neurons2,10
832,VEGFC,0.48584698843315044,0.0,IGF1R,Endothelial,Neurons2,10
839,DCN,0.4629148817608191,0.0,IGF1R,Endothelial,Neurons2,10
2630,WNT5A,0.2870175913070155,0.0,NLK,Endothelial,Neurons2,10
1257,SPP1,0.27370271006004504,0.0,ITGB8,Endothelial,Neurons2,10
3856,EFNB2,0.263489450800026,0.0,GRM5,Endothelial,Neurons2,10
3527,VEGFC,0.26247485611302823,0.0,PRKCB,Endothelial,Neurons2,10
1262,LAMB1,0.22069256885739932,0.0,ITGB8,Endothelial,Neurons2,10
1205,EFNB2,0.19007439735137244,0.0,GRM1,Endothelial,Neurons2,10
2099,WNT5A,0.18844966932675428,0.0,LRP6,Endothelial,Neurons2,10
2078,CX3CL1,0.1761211332174294,0.0,CX3CR1,Endothelial,Neurons2,10
2116,DKK2,0.17516568056263454,0.0,LRP6,Endothelial,Neurons2,10
2772,SPP1,0.1442187116509993,0.0,MAP3K14,Endothelial,Neurons2,10
2838,FGFR3,0.12812287782563891,0.0,FGF9,Endothelial,Neurons2,10
2123,WNT5A,0.12451067666906934,0.0,FZD8,Endothelial,Neurons2,10
