,TF,target,importance
33,Egr1,Ubc,28.973521010895606
154,Tsc22d1,S100a6,28.902240107355052
99,Nr1d2,Phactr3,28.870441772543334
157,Tub,Slc35f1,28.85504778215131
154,Tsc22d1,Ophn1,28.807919424142575
149,Tef,Htra1,28.68933494307802
154,Tsc22d1,G0s2,28.53766798687496
149,Tef,Phactr3,28.519021055993065
86,Mycl,Fsd1l,28.458749118095923
149,Tef,Hsph1,28.344698145608728
68,Junb,Klf6,28.31567343469106
149,Tef,Hspa5,28.299165325293274
154,Tsc22d1,Fam174b,28.262830100686703
68,Junb,Tuba1a,28.255453412549393
86,Mycl,RP24-163K4.1,28.253555498652844
71,Klf6,Hspa1a,28.237621570359288
86,Mycl,Rab33a,28.181784738381076
44,Fosb,Klf6,28.17646422049967
43,Fos,Btg2,28.157093588281505
136,Sox6,BC005561,28.060003750729386
154,Tsc22d1,Traf4,27.966645544432208
86,Mycl,Lbh,27.838151215896378
154,Tsc22d1,Acsl3,27.837421419684357
157,Tub,Celf4,27.715830552726047
86,Mycl,Basp1,27.589252483711203
136,Sox6,Opalin,27.53616944025956
69,Klf4,Egr1,27.513600805159868
67,Jun,Zfp36,27.50282187903773
72,Klf9,Nfkbia,27.43605043069272
86,Mycl,Fabp7,27.427941753750464
33,Egr1,Nr4a1,27.40325395613654
67,Jun,Tmem141,27.356695051101134
154,Tsc22d1,Plin3,27.324226432988358
160,Zbtb16,Tnfaip6,27.17107284410687
44,Fosb,Gadd45g,26.994489770985023
154,Tsc22d1,Gng12,26.966611956452333
154,Tsc22d1,Ttc3,26.869990616494277
94,Nkx2-2,Kcnj16,26.73141695111645
68,Junb,Socs3,26.716722048541147
68,Junb,Hist1h1c,26.698587967087292
86,Mycl,Man1a2,26.607156247627838
72,Klf9,Ankrd12,26.5069699461478
86,Mycl,Tppp3,26.49776996785835
53,Gsx1,Midn,26.413928820371336
154,Tsc22d1,Celf4,26.404094436089398
154,Tsc22d1,Cadm1,26.34592407174272
99,Nr1d2,Gm42644,26.334479965434838
9,Atf3,Zfp36,26.26447282172715
104,Nr4a1,Tsc22d1,26.170696406949162
154,Tsc22d1,Dlgap1,26.166787353780393
72,Klf9,Ubl3,26.12266926500741
33,Egr1,Gstp1,25.916211192572693
72,Klf9,Actb,25.882130655812947
68,Junb,Actb,25.725988698483906
67,Jun,Tppp3,25.663439111442973
154,Tsc22d1,Fut9,25.62551913971914
94,Nkx2-2,Ptpre,25.55326965075497
43,Fos,Klf4,25.539525729485188
33,Egr1,Anln,25.537357383780684
